# Notes:
# Nm: total number of spectroscopic members
# N200: number of members within r200
# s200, s200err: velocity dispersion at r200 and uncertainty, in km/s
# m200, m200err: mass within r200 and uncertainty, in 1e14 Msun
# r200, r200err: radius enclosing 200 times the critical mass density, in Mpc
# Sdelta, Sdelta_{lo,hi}: DS test significance. Values without uncertainties are upper limits
# class: Relaxed or Disturbed
# ref: main spectroscopic references
# ned: main NED spectroscopic sources
name              |    z   |   Nm | N200 | s200 | s200err | m200 | m200err | r200 | r200err | Sdelta | Sdelta_lo | Sdelta_hi | class |   ref | ned
Abell 959         | 0.2882 |   67 |   67 |  982 |     101 |  9.4 |     2.9 | 1.85 |    0.19 |   0.08 |      0.03 |      0.04 |     D |    -- | 5  
Abell 961         | 0.1275 |   58 |   16 |  740 |     142 |  4.4 |     2.5 | 1.51 |    0.29 |   0.84 |      0.13 |      0.06 |     R |     3 | --  
Abell 963         | 0.2036 |  165 |   85 |  922 |      64 |  8.1 |     1.7 | 1.81 |    0.13 |   0.17 |      0.06 |      0.06 |     R |   3,4 | --  
Abell 990         | 0.1421 |  209 |   86 |  829 |      96 |  6.1 |     2.1 | 1.68 |    0.19 |   0.74 |      0.05 |      0.03 |     R | 3,4,5 | --  
CL 0024.0+1652    | 0.3948 |  229 |  131 |  757 |      48 |  4.1 |     0.8 | 1.35 |    0.09 |   0.01 |       --  |       --  |     D |    -- | 10  
MACS J0717.5+3745 | 0.5436 |  468 |  215 | 1370 |      79 | 22.0 |     3.8 | 2.24 |    0.13 |   0.01 |       --  |       --  |     D |    -- | 15  
MKW3S             | 0.0444 |  125 |   82 |  592 |      49 |  2.3 |     0.6 | 1.25 |    0.11 |   0.83 |      0.11 |      0.06 |     R |     3 | --  
MS 0015.9+1609    | 0.5475 |  232 |  122 | 1330 |     115 | 20.0 |     5.2 | 2.17 |    0.19 |   0.32 |      0.18 |      0.10 |     R |   1,2 | --  
MS 0440.5+0204    | 0.1962 |   51 |   35 |  742 |     103 |  4.3 |     1.8 | 1.46 |    0.20 |   0.26 |      0.13 |      0.14 |     R |     2 | --  
MS 0451.6 - 0305  | 0.5382 |  247 |  200 | 1252 |      55 | 16.8 |     2.2 | 2.05 |    0.09 |   0.01 |       --  |       --  |     D |   1,2 | --  
MS 1008.1 - 1224  | 0.3077 |   86 |   85 | 1028 |      92 | 10.6 |     2.8 | 1.91 |    0.17 |   0.59 |      0.11 |      0.07 |     R |     2 | 22  
MS 1224.7+2007    | 0.3258 |   33 |   29 |  790 |      95 |  4.8 |     1.7 | 1.46 |    0.17 |   0.57 |      0.07 |      0.23 |     R |   2,3 | --  
MS 1231.3+1542    | 0.2347 |   84 |   65 |  710 |      57 |  3.7 |     0.9 | 1.38 |    0.11 |   0.87 |      0.03 |      0.03 |     R |   2,3 | --  
MS 1358.4+6245    | 0.3289 |  189 |  152 | 1021 |      56 | 10.3 |     1.7 | 1.88 |    0.10 |   0.01 |      0.00 |      0.01 |     D |     2 | 17  
MS 1455.0+2232    | 0.2565 |   57 |   57 |  928 |     111 |  8.0 |     2.9 | 1.77 |    0.21 |   0.58 |      0.24 |      0.07 |     R |   2,3 | --  
MS 1512.4+3647    | 0.3719 |   30 |   29 |  960 |     170 |  8.4 |     4.4 | 1.73 |    0.30 |   0.04 |      0.00 |      0.03 |     D |     2 | --  
MS 1621.5+2640    | 0.4254 |   70 |   41 |  724 |      82 |  3.5 |     1.2 | 1.27 |    0.14 |   0.17 |      0.04 |      0.20 |     R |     2 | --  
RX J0736.6+3924   | 0.1179 |   62 |   28 |  432 |      64 |  0.9 |     0.4 | 0.89 |    0.13 |   0.52 |      0.03 |      0.12 |     R |   3,5 | --  
ZwCl 0628.1+2502  | 0.0814 |   72 |   66 |  843 |      96 |  6.6 |     2.2 | 1.75 |    0.20 |   0.04 |      0.01 |      0.02 |     D |     5 | --  
ZwCl 1023.3+1257  | 0.1425 |   84 |   24 |  622 |     108 |  2.6 |     1.3 | 1.26 |    0.22 |   0.79 |      0.17 |      0.17 |     R |   3,4 | --  
ZwCl 1215.1+0400  | 0.0773 |  183 |  107 |  902 |      65 |  8.0 |     1.7 | 1.88 |    0.14 |   0.29 |      0.04 |      0.02 |     R |     3 | --  
